Carimbo de data/hora (createdAt),Selecione o Piloto  (pilotId),Selecione a Fazenda (farmId),Nome do Mapa (observation) (plotId=null),Empresa (customerID),Area aplicada (Corrigida),Quantos hectares aplicados?,Selecione o dia da aplicação: (date application),Qual foi o tipo de aplicação? (productId),Selecione o seu ajudante: (assistantId),Tipo de cultura (culture-typeId),Qual drone utilizado?,Período de safra (contractId),,,,,,,,
16/06/2025 09:15,564191dd-ca1a-431c-add2-f6434056491e,f063ce32-1144-43e6-87cc-77899c6d6d15,URUCU T11,3356f421-3a87-4566-9c0f-8154abf98a14,3.75,3.75,13/06/2025,96cb9591-9545-4c0a-92de-f98d7772cc31,6cd96e11-1382-4c95-a88d-926e8ed62ffb,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,8301353a-1ec0-4641-8d86-c33aa3087059,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
16/06/2025 09:16,4db5c9c1-27b1-4eed-b53c-10e981da9763,f063ce32-1144-43e6-87cc-77899c6d6d15,URUCU T97,3356f421-3a87-4566-9c0f-8154abf98a14,3.61,3.61,14/06/2025,96cb9591-9545-4c0a-92de-f98d7772cc31,6cd96e11-1382-4c95-a88d-926e8ed62ffb,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,e635b57b-4416-4882-be6d-e697dbba9af7,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
16/06/2025 09:16,564191dd-ca1a-431c-add2-f6434056491e,f063ce32-1144-43e6-87cc-77899c6d6d15,URUCU T27,3356f421-3a87-4566-9c0f-8154abf98a14,9.38,9.38,13/06/2025,96cb9591-9545-4c0a-92de-f98d7772cc31,6cd96e11-1382-4c95-a88d-926e8ed62ffb,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,8301353a-1ec0-4641-8d86-c33aa3087059,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
16/06/2025 09:16,7ce43fe5-d119-4eab-8bd6-695bc11b484b,f063ce32-1144-43e6-87cc-77899c6d6d15,USINA P 01 (2),3356f421-3a87-4566-9c0f-8154abf98a14,1.4,1.4,13/06/2025,96cb9591-9545-4c0a-92de-f98d7772cc31,84933fd7-0594-4b28-8492-d9a3d7bf88bb,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,8301353a-1ec0-4641-8d86-c33aa3087059,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
16/06/2025 09:16,4db5c9c1-27b1-4eed-b53c-10e981da9763,f063ce32-1144-43e6-87cc-77899c6d6d15,URUCU T97,3356f421-3a87-4566-9c0f-8154abf98a14,3.49,3.49,14/06/2025,96cb9591-9545-4c0a-92de-f98d7772cc31,6cd96e11-1382-4c95-a88d-926e8ed62ffb,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,e635b57b-4416-4882-be6d-e697dbba9af7,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
16/06/2025 09:19,7ce43fe5-d119-4eab-8bd6-695bc11b484b,f063ce32-1144-43e6-87cc-77899c6d6d15,USINA ,3356f421-3a87-4566-9c0f-8154abf98a14,2.28,2.28,13/06/2025,96cb9591-9545-4c0a-92de-f98d7772cc31,84933fd7-0594-4b28-8492-d9a3d7bf88bb,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,8301353a-1ec0-4641-8d86-c33aa3087059,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
16/06/2025 09:22,acf1eeb8-dc57-464a-b064-92368e2aef12,f063ce32-1144-43e6-87cc-77899c6d6d15,USINA P01 (3),3356f421-3a87-4566-9c0f-8154abf98a14,3.86,3.86,13/06/2025,96cb9591-9545-4c0a-92de-f98d7772cc31,84933fd7-0594-4b28-8492-d9a3d7bf88bb,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,8301353a-1ec0-4641-8d86-c33aa3087059,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
16/06/2025 09:24,acf1eeb8-dc57-464a-b064-92368e2aef12,f063ce32-1144-43e6-87cc-77899c6d6d15,USINA,3356f421-3a87-4566-9c0f-8154abf98a14,5.44,5.44,13/06/2025,96cb9591-9545-4c0a-92de-f98d7772cc31,84933fd7-0594-4b28-8492-d9a3d7bf88bb,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,8301353a-1ec0-4641-8d86-c33aa3087059,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
16/06/2025 19:13,fd3fa4b5-d6b9-4e57-80a4-5c76aaded968,617e9713-3f49-4cdc-b84b-f651d3d03f8d,E55 T17,3356f421-3a87-4566-9c0f-8154abf98a14,10.5,10.5,16/06/2025,cb0e2f67-bbaf-4e4d-b446-68ac68f44408,629f4fe3-b0c3-48ec-85ff-a06ad19c5312,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,9e56dd06-8d1b-4b50-96d9-05414d5a79e8,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
16/06/2025 19:39,6b8a2ead-5b5d-4ae5-b9d5-784f84282a77,617e9713-3f49-4cdc-b84b-f651d3d03f8d,E55-T61,3356f421-3a87-4566-9c0f-8154abf98a14,0.5,0.5,16/06/2025,96cb9591-9545-4c0a-92de-f98d7772cc31,c9aa2564-0e7d-4444-8f1b-fc4d7386875b,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,5b36df0c-a3e0-4e67-8202-bf8f7f201554,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
